Target Distance:50, Step size:1
655: (x,y)=(-15.9561,6.79581)
656: (x,y)=(-15.3543,7.59445)
657: (x,y)=(-15.4241,8.59201)
658: (x,y)=(-14.4393,8.76566)
659: (x,y)=(-15.1824,9.43479)
660: (x,y)=(-15.2347,8.43616)
661: (x,y)=(-16.1335,7.99779)
662: (x,y)=(-16.9107,7.36847)
663: (x,y)=(-17.6178,6.66136)
664: (x,y)=(-18.0404,5.75506)
665: (x,y)=(-17.2418,6.35687)
666: (x,y)=(-18.0508,6.94466)
667: (x,y)=(-18.7939,7.61379)
668: (x,y)=(-17.8158,7.8217)
669: (x,y)=(-18.4978,8.55305)
670: (x,y)=(-19.3549,9.06809)
671: (x,y)=(-20.2537,8.62972)
672: (x,y)=(-20.8415,7.8207)
673: (x,y)=(-19.896,8.14627)
674: (x,y)=(-19.8263,9.14383)
675: (x,y)=(-18.9876,8.5992)
676: (x,y)=(-19.9148,8.22459)
677: (x,y)=(-20.4594,9.06326)
678: (x,y)=(-19.7281,9.74526)
679: (x,y)=(-19.0087,10.4399)
680: (x,y)=(-18.3396,9.69677)
681: (x,y)=(-19.3008,9.42113)
682: (x,y)=(-20.2984,9.35138)
683: (x,y)=(-21.2047,9.774)
684: (x,y)=(-20.7821,10.6803)
685: (x,y)=(-20.7472,11.6797)
686: (x,y)=(-21.0562,12.6308)
687: (x,y)=(-21.3319,11.6695)
688: (x,y)=(-21.9196,12.4785)
689: (x,y)=(-22.4044,13.3531)
690: (x,y)=(-23.2874,12.8837)
691: (x,y)=(-22.2948,12.7618)
692: (x,y)=(-23.152,13.2768)
693: (x,y)=(-23.461,12.3258)
694: (x,y)=(-24.1171,13.0805)
695: (x,y)=(-23.5872,13.9285)
696: (x,y)=(-24.5858,13.9809)
697: (x,y)=(-23.9167,13.2377)
698: (x,y)=(-22.9712,13.5633)
699: (x,y)=(-23.0409,12.5657)
700: (x,y)=(-23.8181,11.9364)
701: (x,y)=(-23.5592,10.9705)
702: (x,y)=(-22.9164,10.2044)
703: (x,y)=(-22.2093,9.49732)
704: (x,y)=(-21.5533,10.252)
705: (x,y)=(-20.7546,10.8538)
706: (x,y)=(-21.6534,11.2922)
707: (x,y)=(-20.8343,11.8658)
708: (x,y)=(-19.8888,11.5402)
709: (x,y)=(-18.9071,11.3494)
710: (x,y)=(-19.8582,11.6584)
711: (x,y)=(-20.4739,10.8704)
712: (x,y)=(-21.2725,10.2686)
713: (x,y)=(-21.9416,9.52546)
714: (x,y)=(-22.5294,8.71645)
715: (x,y)=(-21.5318,8.64669)
716: (x,y)=(-21.8242,9.603)
717: (x,y)=(-22.7152,10.057)
718: (x,y)=(-21.7166,10.0046)
719: (x,y)=(-22.6301,9.59791)
720: (x,y)=(-23.2862,10.3526)
721: (x,y)=(-23.4598,11.3374)
722: (x,y)=(-24.4597,11.32)
723: (x,y)=(-24.7853,10.3745)
724: (x,y)=(-23.8456,10.7165)
725: (x,y)=(-23.5036,9.77679)
726: (x,y)=(-24.1463,10.5428)
727: (x,y)=(-24.9944,10.0129)
728: (x,y)=(-24.2997,9.29357)
729: (x,y)=(-23.8771,8.38726)
730: (x,y)=(-22.9783,7.94889)
731: (x,y)=(-22.4337,7.11022)
732: (x,y)=(-22.792,6.17664)
733: (x,y)=(-23.034,7.14694)
734: (x,y)=(-22.7416,8.10324)
735: (x,y)=(-23.034,9.05955)
736: (x,y)=(-22.1768,9.57459)
737: (x,y)=(-23.1584,9.38378)
738: (x,y)=(-23.002,10.3715)
739: (x,y)=(-22.0075,10.476)
740: (x,y)=(-22.1639,11.4637)
741: (x,y)=(-21.2651,11.9021)
742: (x,y)=(-22.2577,12.0239)
743: (x,y)=(-21.3014,12.3163)
744: (x,y)=(-20.57,11.6343)
745: (x,y)=(-21.5263,11.3419)
746: (x,y)=(-20.5386,11.4984)
747: (x,y)=(-21.3476,10.9106)
748: (x,y)=(-20.509,10.3659)
749: (x,y)=(-20.055,11.2569)
750: (x,y)=(-19.0574,11.3267)
751: (x,y)=(-19.8664,10.7389)
752: (x,y)=(-20.8324,10.9977)
753: (x,y)=(-20.3173,11.8549)
754: (x,y)=(-20.0083,12.806)
755: (x,y)=(-19.0084,12.8234)
756: (x,y)=(-18.0086,12.8409)
757: (x,y)=(-18.0958,11.8447)
758: (x,y)=(-17.7537,10.905)
759: (x,y)=(-16.7689,10.7313)
760: (x,y)=(-17.7537,10.905)
761: (x,y)=(-16.7562,10.9747)
762: (x,y)=(-16.669,9.97853)
763: (x,y)=(-16.8082,10.9688)
764: (x,y)=(-17.2777,11.8517)
765: (x,y)=(-18.2389,12.1274)
766: (x,y)=(-18.7084,13.0103)
767: (x,y)=(-18.3017,12.0968)
768: (x,y)=(-17.7139,12.9058)
769: (x,y)=(-16.714,12.8884)
770: (x,y)=(-17.6203,13.311)
771: (x,y)=(-16.8656,13.967)
772: (x,y)=(-16.027,14.5117)
773: (x,y)=(-16.0793,13.513)
774: (x,y)=(-17.0718,13.3912)
775: (x,y)=(-16.2147,13.9062)
776: (x,y)=(-16.0928,14.8988)
777: (x,y)=(-16.7085,15.6868)
778: (x,y)=(-16.4835,16.6611)
779: (x,y)=(-16.6743,17.6428)
780: (x,y)=(-16.3819,16.6865)
781: (x,y)=(-15.5729,16.0987)
782: (x,y)=(-15.0137,15.2696)
783: (x,y)=(-14.0321,15.4604)
784: (x,y)=(-13.945,14.4643)
785: (x,y)=(-13.8752,15.4618)
786: (x,y)=(-13.4057,14.5789)
787: (x,y)=(-13.4057,15.5789)
788: (x,y)=(-12.4241,15.7697)
789: (x,y)=(-11.5854,15.225)
790: (x,y)=(-11.0408,16.0637)
791: (x,y)=(-11.2657,15.0893)
792: (x,y)=(-10.9402,14.1438)
793: (x,y)=(-11.925,13.9702)
794: (x,y)=(-10.9347,13.831)
795: (x,y)=(-11.841,14.2536)
796: (x,y)=(-10.95,14.7076)
797: (x,y)=(-11.9426,14.5857)
798: (x,y)=(-12.6117,15.3289)
799: (x,y)=(-12.1269,14.4543)
800: (x,y)=(-11.1933,14.8126)
801: (x,y)=(-11.4012,15.7908)
802: (x,y)=(-12.3794,15.5829)
803: (x,y)=(-13.1565,14.9535)
804: (x,y)=(-14.0475,15.4075)
805: (x,y)=(-14.1347,14.4113)
806: (x,y)=(-13.5329,15.21)
807: (x,y)=(-13.2073,14.2645)
808: (x,y)=(-13.1028,15.259)
809: (x,y)=(-12.8439,16.2249)
810: (x,y)=(-13.795,15.9159)
811: (x,y)=(-13.3102,15.0413)
812: (x,y)=(-13.0345,16.0025)
813: (x,y)=(-13.9333,15.5642)
814: (x,y)=(-13.9508,16.564)
815: (x,y)=(-14.6199,17.3072)
816: (x,y)=(-15.5858,17.566)
817: (x,y)=(-15.6207,16.5666)
818: (x,y)=(-15.6556,17.566)
819: (x,y)=(-16.4748,16.9924)
820: (x,y)=(-17.1176,17.7584)
821: (x,y)=(-17.7054,18.5675)
822: (x,y)=(-16.7918,18.9742)
823: (x,y)=(-17.7054,18.5675)
824: (x,y)=(-18.4825,19.1968)
825: (x,y)=(-19.3961,18.79)
826: (x,y)=(-19.3961,17.79)
827: (x,y)=(-20.1947,17.1882)
828: (x,y)=(-19.44,16.5322)
829: (x,y)=(-19.6136,17.517)
830: (x,y)=(-19.906,16.5607)
831: (x,y)=(-18.9244,16.7515)
832: (x,y)=(-19.6904,17.3943)
833: (x,y)=(-19.4485,18.3646)
834: (x,y)=(-19.5704,17.372)
835: (x,y)=(-20.3251,16.716)
836: (x,y)=(-20.3948,15.7184)
837: (x,y)=(-21.0376,16.4844)
838: (x,y)=(-20.3063,17.1664)
839: (x,y)=(-21.0376,16.4844)
840: (x,y)=(-21.6254,17.2935)
841: (x,y)=(-21.9838,18.227)
842: (x,y)=(-21.0383,18.5526)
843: (x,y)=(-20.1636,18.0678)
844: (x,y)=(-19.7097,17.1768)
845: (x,y)=(-19.4173,16.2205)
846: (x,y)=(-19.0265,17.141)
847: (x,y)=(-20.0265,17.141)
848: (x,y)=(-20.5857,16.3119)
849: (x,y)=(-19.8786,17.0191)
850: (x,y)=(-18.9389,17.3611)
851: (x,y)=(-17.9777,17.6367)
852: (x,y)=(-18.2365,16.6708)
853: (x,y)=(-18.5455,15.7197)
854: (x,y)=(-19.4791,16.0781)
855: (x,y)=(-20.1984,15.3834)
856: (x,y)=(-20.303,14.3889)
857: (x,y)=(-21.1859,14.8584)
858: (x,y)=(-20.2404,14.5328)
859: (x,y)=(-19.7254,13.6757)
860: (x,y)=(-19.4497,14.6369)
861: (x,y)=(-18.6617,15.2526)
862: (x,y)=(-18.0056,14.4979)
863: (x,y)=(-18.9716,14.7567)
864: (x,y)=(-18.867,13.7622)
865: (x,y)=(-18.9368,12.7646)
866: (x,y)=(-17.9374,12.7995)
867: (x,y)=(-16.9671,13.0414)
868: (x,y)=(-15.9696,12.9717)
869: (x,y)=(-16.9477,12.7638)
870: (x,y)=(-17.9402,12.8856)
871: (x,y)=(-18.2326,13.8419)
872: (x,y)=(-17.3416,14.2959)
873: (x,y)=(-16.408,14.6543)
874: (x,y)=(-17.3352,15.0289)
875: (x,y)=(-16.5262,15.6167)
876: (x,y)=(-15.7276,15.0149)
877: (x,y)=(-15.4519,14.0536)
878: (x,y)=(-14.9979,13.1626)
879: (x,y)=(-15.6799,12.4312)
880: (x,y)=(-16.546,12.9312)
881: (x,y)=(-15.9724,12.1121)
882: (x,y)=(-16.9718,12.147)
883: (x,y)=(-17.933,12.4226)
884: (x,y)=(-17.9156,13.4225)
885: (x,y)=(-17.2863,14.1996)
886: (x,y)=(-17.9809,14.919)
887: (x,y)=(-18.1546,15.9038)
888: (x,y)=(-18.2764,16.8963)
889: (x,y)=(-19.222,17.2219)
890: (x,y)=(-18.997,18.1963)
891: (x,y)=(-18.3023,18.9156)
892: (x,y)=(-17.3207,18.7248)
893: (x,y)=(-16.3221,18.7771)
894: (x,y)=(-17.0041,18.0458)
895: (x,y)=(-17.9744,17.8038)
896: (x,y)=(-17.8699,16.8093)
897: (x,y)=(-17.2271,16.0433)
898: (x,y)=(-16.2394,15.8868)
899: (x,y)=(-16.6301,14.9663)
900: (x,y)=(-17.5698,14.6243)
901: (x,y)=(-17.3619,13.6462)
902: (x,y)=(-18.1166,14.3022)
903: (x,y)=(-17.1894,13.9276)
904: (x,y)=(-16.5876,13.129)
905: (x,y)=(-16.1028,12.2544)
906: (x,y)=(-15.7444,13.1879)
907: (x,y)=(-15.849,12.1934)
908: (x,y)=(-14.8587,12.3326)
909: (x,y)=(-15.2813,13.2389)
910: (x,y)=(-16.1876,12.8163)
911: (x,y)=(-16.8033,13.6043)
912: (x,y)=(-16.1605,12.8383)
913: (x,y)=(-17.158,12.908)
914: (x,y)=(-17.7737,12.12)
915: (x,y)=(-18.735,11.8444)
916: (x,y)=(-19.3506,11.0564)
917: (x,y)=(-20.3468,10.9692)
918: (x,y)=(-19.9722,11.8964)
919: (x,y)=(-20.4873,12.7535)
920: (x,y)=(-21.3783,13.2075)
921: (x,y)=(-20.8047,14.0267)
922: (x,y)=(-20.398,13.1131)
923: (x,y)=(-20.173,14.0875)
924: (x,y)=(-21.1241,13.7785)
925: (x,y)=(-22.0512,13.4039)
926: (x,y)=(-21.09,13.6795)
927: (x,y)=(-20.1241,13.4207)
928: (x,y)=(-19.1844,13.0787)
929: (x,y)=(-19.3923,12.1005)
930: (x,y)=(-18.3997,12.2224)
931: (x,y)=(-17.9614,13.1212)
932: (x,y)=(-18.5206,13.9502)
933: (x,y)=(-18.195,14.8958)
934: (x,y)=(-18.504,15.8468)
935: (x,y)=(-17.5115,15.9687)
936: (x,y)=(-16.5718,16.3107)
937: (x,y)=(-16.0567,17.1679)
938: (x,y)=(-17.0383,17.3587)
939: (x,y)=(-16.0602,17.5666)
940: (x,y)=(-16.6895,18.3437)
941: (x,y)=(-16.6895,17.3437)
942: (x,y)=(-15.695,17.4483)
943: (x,y)=(-16.6155,17.0575)
944: (x,y)=(-15.6496,16.7987)
945: (x,y)=(-15.9916,15.859)
946: (x,y)=(-15.617,16.7862)
947: (x,y)=(-15.0724,15.9475)
948: (x,y)=(-14.0737,15.8952)
949: (x,y)=(-13.9001,16.88)
950: (x,y)=(-14.8564,17.1724)
951: (x,y)=(-14.0177,16.6277)
952: (x,y)=(-14.8369,16.0542)
953: (x,y)=(-14.0937,16.7233)
954: (x,y)=(-13.6711,15.817)
955: (x,y)=(-13.6013,14.8194)
956: (x,y)=(-13.0421,13.9904)
957: (x,y)=(-12.1086,13.632)
958: (x,y)=(-12.4832,14.5592)
959: (x,y)=(-11.9984,13.6846)
960: (x,y)=(-11.7395,12.7187)
961: (x,y)=(-12.7008,12.443)
962: (x,y)=(-12.7008,13.443)
963: (x,y)=(-11.7395,13.1674)
964: (x,y)=(-12.0651,12.2219)
965: (x,y)=(-13.0637,12.2742)
966: (x,y)=(-12.2866,11.6449)
967: (x,y)=(-12.5116,12.6193)
968: (x,y)=(-11.7455,13.262)
969: (x,y)=(-12.0711,12.3165)
970: (x,y)=(-11.7787,13.2728)
971: (x,y)=(-10.7939,13.4465)
972: (x,y)=(-11.7842,13.5856)
973: (x,y)=(-10.927,14.1007)
974: (x,y)=(-9.93247,14.2052)
975: (x,y)=(-10.9173,14.0316)
976: (x,y)=(-11.0044,13.0354)
977: (x,y)=(-11.0916,14.0316)
978: (x,y)=(-11.8229,13.3496)
979: (x,y)=(-11.8229,12.3496)
980: (x,y)=(-11.1669,11.5949)
981: (x,y)=(-11.1146,12.5935)
982: (x,y)=(-10.3374,11.9642)
983: (x,y)=(-11.33,12.086)
984: (x,y)=(-10.8149,12.9432)
985: (x,y)=(-9.84462,12.7013)
986: (x,y)=(-8.84477,12.7187)
987: (x,y)=(-8.74024,13.7133)
988: (x,y)=(-8.07111,14.4564)
989: (x,y)=(-7.24207,13.8972)
990: (x,y)=(-6.56007,13.1659)
991: (x,y)=(-7.49977,12.8238)
992: (x,y)=(-7.22413,11.8626)
993: (x,y)=(-7.86692,11.0965)
994: (x,y)=(-8.86311,11.1837)
995: (x,y)=(-9.46493,11.9823)
996: (x,y)=(-10.416,12.2913)
997: (x,y)=(-9.50968,11.8687)
998: (x,y)=(-8.51029,11.9036)
999: (x,y)=(-7.69113,11.33)
1000: (x,y)=(-8.17594,12.2047)
1001: (x,y)=(-7.37731,12.8065)
1002: (x,y)=(-6.37746,12.789)
1003: (x,y)=(-7.16547,12.1734)
1004: (x,y)=(-8.12673,12.449)
1005: (x,y)=(-7.48394,11.683)
1006: (x,y)=(-8.26109,11.0536)
1007: (x,y)=(-7.96872,10.0973)
1008: (x,y)=(-7.26161,10.8044)
1009: (x,y)=(-6.29569,11.0633)
1010: (x,y)=(-5.46665,11.6224)
1011: (x,y)=(-6.46528,11.6748)
1012: (x,y)=(-7.15994,12.3941)
1013: (x,y)=(-6.57215,13.2031)
1014: (x,y)=(-7.57078,13.1508)
1015: (x,y)=(-7.19617,12.2236)
1016: (x,y)=(-8.11668,12.6144)
1017: (x,y)=(-9.09483,12.8223)
1018: (x,y)=(-8.72022,11.8951)
1019: (x,y)=(-7.74585,11.6701)
1020: (x,y)=(-7.5722,12.6549)
1021: (x,y)=(-6.97039,11.8563)
1022: (x,y)=(-7.63952,12.5994)
1023: (x,y)=(-6.73321,12.1768)
1024: (x,y)=(-7.53185,12.7786)
1025: (x,y)=(-8.40646,13.2635)
1026: (x,y)=(-8.37157,14.2628)
1027: (x,y)=(-9.37019,14.2105)
1028: (x,y)=(-8.66309,13.5034)
1029: (x,y)=(-9.60861,13.829)
1030: (x,y)=(-9.59115,12.8291)
1031: (x,y)=(-10.076,13.7037)
1032: (x,y)=(-9.11004,13.9626)
1033: (x,y)=(-8.93639,14.9474)
1034: (x,y)=(-8.51377,15.8537)
1035: (x,y)=(-9.47503,15.578)
1036: (x,y)=(-9.1994,14.6168)
1037: (x,y)=(-9.21685,15.6166)
1038: (x,y)=(-8.28966,15.9912)
1039: (x,y)=(-8.87745,16.8002)
1040: (x,y)=(-8.07881,17.4021)
1041: (x,y)=(-7.07942,17.437)
1042: (x,y)=(-8.07395,17.3324)
1043: (x,y)=(-7.39195,18.0638)
1044: (x,y)=(-6.41758,17.8388)
1045: (x,y)=(-5.93277,18.7135)
1046: (x,y)=(-6.93277,18.7135)
1047: (x,y)=(-6.11362,19.287)
1048: (x,y)=(-6.25279,18.2968)
1049: (x,y)=(-7.2376,18.4704)
1050: (x,y)=(-8.17729,18.8124)
1051: (x,y)=(-7.26374,19.2192)
1052: (x,y)=(-8.06238,19.821)
1053: (x,y)=(-8.38795,18.8755)
1054: (x,y)=(-8.6129,17.9011)
1055: (x,y)=(-7.65659,18.1935)
1056: (x,y)=(-6.6689,18.3499)
1057: (x,y)=(-7.25669,19.1589)
1058: (x,y)=(-7.16953,18.1627)
1059: (x,y)=(-8.09004,18.5535)
1060: (x,y)=(-8.24647,17.5658)
1061: (x,y)=(-9.22084,17.7907)
1062: (x,y)=(-10.1038,18.2602)
1063: (x,y)=(-10.8809,18.8895)
1064: (x,y)=(-11.8755,18.785)
1065: (x,y)=(-10.9419,18.4266)
1066: (x,y)=(-10.4879,17.5356)
1067: (x,y)=(-11.3539,18.0356)
1068: (x,y)=(-12.3152,17.76)
1069: (x,y)=(-11.3207,17.8645)
1070: (x,y)=(-10.5659,17.2084)
1071: (x,y)=(-11.5562,17.3476)
1072: (x,y)=(-12.5265,17.1057)
1073: (x,y)=(-11.9673,17.9347)
1074: (x,y)=(-12.9521,18.1084)
1075: (x,y)=(-13.6715,17.4137)
1076: (x,y)=(-13.9805,16.4627)
1077: (x,y)=(-13.0408,16.8047)
1078: (x,y)=(-13.3164,17.7659)
1079: (x,y)=(-12.9581,16.8324)
1080: (x,y)=(-13.1489,17.814)
1081: (x,y)=(-12.2284,17.4233)
1082: (x,y)=(-11.7284,16.5572)
1083: (x,y)=(-12.5055,15.9279)
1084: (x,y)=(-13.2827,16.5572)
1085: (x,y)=(-12.3045,16.7651)
1086: (x,y)=(-11.3045,16.7651)
1087: (x,y)=(-11.9865,17.4965)
1088: (x,y)=(-11.041,17.8221)
1089: (x,y)=(-10.1074,18.1804)
1090: (x,y)=(-9.1511,18.4728)
1091: (x,y)=(-8.17295,18.2649)
1092: (x,y)=(-8.1555,19.2647)
1093: (x,y)=(-7.31683,19.8094)
1094: (x,y)=(-8.27809,19.5337)
1095: (x,y)=(-8.38262,20.5283)
1096: (x,y)=(-7.41669,20.7871)
1097: (x,y)=(-7.38179,21.7865)
1098: (x,y)=(-7.80441,20.8802)
1099: (x,y)=(-8.48641,20.1488)
1100: (x,y)=(-7.7793,20.8559)
1101: (x,y)=(-8.77687,20.9257)
1102: (x,y)=(-8.63769,19.9354)
1103: (x,y)=(-8.60279,18.936)
1104: (x,y)=(-8.89517,19.8923)
1105: (x,y)=(-9.48295,19.0833)
1106: (x,y)=(-9.72487,20.0536)
1107: (x,y)=(-10.1475,19.1473)
1108: (x,y)=(-9.14993,19.0775)
1109: (x,y)=(-8.63489,19.9347)
1110: (x,y)=(-9.61652,19.7439)
1111: (x,y)=(-9.39157,18.7695)
1112: (x,y)=(-10.0344,19.5356)
1113: (x,y)=(-9.2152,18.962)
1114: (x,y)=(-10.0032,18.3463)
1115: (x,y)=(-10.7579,19.0024)
1116: (x,y)=(-11.5126,19.6585)
1117: (x,y)=(-10.5563,19.3661)
1118: (x,y)=(-11.5525,19.2789)
1119: (x,y)=(-11.8781,18.3334)
1120: (x,y)=(-11.3631,17.4762)
1121: (x,y)=(-11.2412,18.4688)
1122: (x,y)=(-11.1714,17.4712)
1123: (x,y)=(-10.9635,16.4931)
1124: (x,y)=(-10.1755,17.1087)
1125: (x,y)=(-9.17566,17.0913)
1126: (x,y)=(-8.45632,16.3966)
1127: (x,y)=(-9.39601,16.7386)
1128: (x,y)=(-9.10364,15.7823)
1129: (x,y)=(-8.89572,16.7605)
1130: (x,y)=(-8.94806,17.7591)
1131: (x,y)=(-9.94669,17.8115)
1132: (x,y)=(-10.9429,17.7243)
1133: (x,y)=(-11.6742,17.0423)
1134: (x,y)=(-12.3689,16.323)
1135: (x,y)=(-12.1101,17.2889)
1136: (x,y)=(-12.0926,18.2887)
1137: (x,y)=(-12.0926,17.2887)
1138: (x,y)=(-11.1223,17.5307)
1139: (x,y)=(-10.1713,17.2216)
1140: (x,y)=(-9.99763,16.2368)
1141: (x,y)=(-10.997,16.2717)
1142: (x,y)=(-10.0226,16.4967)
1143: (x,y)=(-9.78072,17.467)
1144: (x,y)=(-9.31125,18.3499)
1145: (x,y)=(-10.3099,18.2976)
1146: (x,y)=(-9.54384,18.9404)
1147: (x,y)=(-8.88778,19.6951)
1148: (x,y)=(-7.92652,19.9707)
1149: (x,y)=(-7.82199,20.9652)
1150: (x,y)=(-7.33718,20.0906)
1151: (x,y)=(-6.73536,20.8893)
1152: (x,y)=(-7.12609,19.9688)
1153: (x,y)=(-7.74176,19.1807)
1154: (x,y)=(-8.06732,20.1263)
1155: (x,y)=(-8.94194,20.6111)
1156: (x,y)=(-9.93221,20.7502)
1157: (x,y)=(-10.8777,21.0758)
1158: (x,y)=(-11.6969,21.6494)
1159: (x,y)=(-11.3223,20.7222)
1160: (x,y)=(-10.3224,20.7397)
1161: (x,y)=(-9.34806,20.9646)
1162: (x,y)=(-9.12311,19.9902)
1163: (x,y)=(-8.2168,20.4129)
1164: (x,y)=(-7.31049,20.8355)
1165: (x,y)=(-6.3708,20.4935)
1166: (x,y)=(-7.03993,19.7503)
1167: (x,y)=(-6.24129,20.3521)
1168: (x,y)=(-5.83456,21.2657)
1169: (x,y)=(-5.83456,20.2657)
1170: (x,y)=(-6.83395,20.3006)
1171: (x,y)=(-6.13929,19.5812)
1172: (x,y)=(-7.09035,19.8902)
1173: (x,y)=(-8.02393,19.5319)
1174: (x,y)=(-7.23592,18.9162)
1175: (x,y)=(-7.97906,18.2471)
1176: (x,y)=(-7.30993,17.5039)
1177: (x,y)=(-6.36441,17.1784)
1178: (x,y)=(-7.23903,17.6632)
1179: (x,y)=(-7.90816,18.4063)
1180: (x,y)=(-8.86447,18.114)
1181: (x,y)=(-8.48986,19.0411)
1182: (x,y)=(-8.88059,18.1206)
1183: (x,y)=(-8.72416,19.1083)
1184: (x,y)=(-7.79697,18.7337)
1185: (x,y)=(-7.29697,19.5997)
1186: (x,y)=(-6.92237,18.6726)
1187: (x,y)=(-6.95727,19.6719)
1188: (x,y)=(-5.95864,19.7243)
1189: (x,y)=(-6.04579,20.7205)
1190: (x,y)=(-6.15032,21.715)
1191: (x,y)=(-7.13801,21.5586)
1192: (x,y)=(-6.74728,20.6381)
1193: (x,y)=(-5.74865,20.5857)
1194: (x,y)=(-5.14683,21.3844)
1195: (x,y)=(-5.78962,22.1504)
1196: (x,y)=(-6.09864,21.1993)
1197: (x,y)=(-6.90766,20.6116)
1198: (x,y)=(-6.29199,21.3996)
1199: (x,y)=(-5.69018,22.1982)
1200: (x,y)=(-5.02105,21.4551)
1201: (x,y)=(-4.173,21.985)
1202: (x,y)=(-3.37436,22.5868)
1203: (x,y)=(-3.44412,21.5892)
1204: (x,y)=(-2.58695,21.0742)
1205: (x,y)=(-3.52665,20.7322)
1206: (x,y)=(-4.39267,21.2322)
1207: (x,y)=(-3.83348,20.4031)
1208: (x,y)=(-4.55282,19.7085)
1209: (x,y)=(-5.4864,19.3501)
1210: (x,y)=(-5.97121,20.2247)
1211: (x,y)=(-6.93713,20.4836)
1212: (x,y)=(-7.91528,20.6915)
1213: (x,y)=(-7.79341,19.6989)
1214: (x,y)=(-6.85983,20.0573)
1215: (x,y)=(-6.7034,19.0696)
1216: (x,y)=(-6.31267,18.1491)
1217: (x,y)=(-6.15623,17.1614)
1218: (x,y)=(-5.55442,17.96)
1219: (x,y)=(-6.55061,17.8729)
1220: (x,y)=(-6.30869,16.9026)
1221: (x,y)=(-5.38819,16.5119)
1222: (x,y)=(-4.57917,15.9241)
1223: (x,y)=(-3.93638,16.6901)
1224: (x,y)=(-4.359,17.5964)
1225: (x,y)=(-5.28618,17.971)
1226: (x,y)=(-4.31181,18.196)
1227: (x,y)=(-3.69615,18.984)
1228: (x,y)=(-3.76591,17.9864)
1229: (x,y)=(-3.88778,18.979)
1230: (x,y)=(-4.09569,18.0008)
1231: (x,y)=(-4.40471,18.9519)
1232: (x,y)=(-3.45919,19.2775)
1233: (x,y)=(-3.6671,20.2556)
1234: (x,y)=(-2.80107,20.7556)
1235: (x,y)=(-3.22369,19.8493)
1236: (x,y)=(-4.18962,20.1081)
1237: (x,y)=(-3.99881,21.0897)
1238: (x,y)=(-3.26745,21.7717)
1239: (x,y)=(-2.62467,22.5378)
1240: (x,y)=(-3.6233,22.4854)
1241: (x,y)=(-3.41539,21.5073)
1242: (x,y)=(-3.91539,22.3733)
1243: (x,y)=(-4.47458,21.5443)
1244: (x,y)=(-3.76747,20.8372)
1245: (x,y)=(-4.7491,21.028)
1246: (x,y)=(-4.04199,21.7351)
1247: (x,y)=(-3.08073,21.4595)
1248: (x,y)=(-4.01431,21.1011)
1249: (x,y)=(-5.0105,21.0139)
1250: (x,y)=(-4.43693,20.1948)
1251: (x,y)=(-4.21198,21.1692)
1252: (x,y)=(-4.90664,21.8885)
1253: (x,y)=(-5.9042,21.9582)
1254: (x,y)=(-5.09518,21.3705)
1255: (x,y)=(-6.00873,20.9637)
1256: (x,y)=(-6.4471,20.0649)
1257: (x,y)=(-5.88791,19.2359)
1258: (x,y)=(-5.6971,18.2543)
1259: (x,y)=(-4.79079,18.6769)
1260: (x,y)=(-3.79323,18.6071)
1261: (x,y)=(-4.18396,19.5276)
1262: (x,y)=(-3.84194,20.4673)
1263: (x,y)=(-2.92143,20.0766)
1264: (x,y)=(-3.86695,20.4022)
1265: (x,y)=(-2.96816,19.9638)
1266: (x,y)=(-3.76679,20.5656)
1267: (x,y)=(-4.07581,19.6146)
1268: (x,y)=(-3.23714,19.0699)
1269: (x,y)=(-2.58108,18.3152)
1270: (x,y)=(-2.8399,17.3493)
1271: (x,y)=(-1.90632,17.7076)
1272: (x,y)=(-2.57545,16.9645)
1273: (x,y)=(-1.65494,17.3552)
1274: (x,y)=(-2.01331,16.4216)
1275: (x,y)=(-1.02304,16.5608)
1276: (x,y)=(-1.59662,17.38)
1277: (x,y)=(-2.39526,17.9818)
1278: (x,y)=(-2.75362,18.9154)
1279: (x,y)=(-2.92727,19.9002)
1280: (x,y)=(-3.50085,20.7193)
1281: (x,y)=(-4.42803,20.3447)
1282: (x,y)=(-4.11901,21.2958)
1283: (x,y)=(-4.50975,22.2163)
1284: (x,y)=(-4.18418,21.2708)
1285: (x,y)=(-5.15447,21.0288)
1286: (x,y)=(-4.47248,21.7602)
1287: (x,y)=(-3.47385,21.8125)
1288: (x,y)=(-2.63518,21.2679)
1289: (x,y)=(-2.54802,20.2717)
1290: (x,y)=(-3.54254,20.1672)
1291: (x,y)=(-4.17186,19.39)
1292: (x,y)=(-4.11953,18.3914)
1293: (x,y)=(-4.74885,17.6143)
1294: (x,y)=(-5.63179,17.1448)
1295: (x,y)=(-5.78823,16.1571)
1296: (x,y)=(-5.82313,15.1577)
1297: (x,y)=(-5.89288,14.1601)
1298: (x,y)=(-6.63603,13.491)
1299: (x,y)=(-7.36738,12.809)
1300: (x,y)=(-8.35219,12.6354)
1301: (x,y)=(-9.32249,12.8773)
1302: (x,y)=(-8.82249,13.7433)
1303: (x,y)=(-9.80411,13.9341)
1304: (x,y)=(-8.83819,14.1929)
1305: (x,y)=(-7.93939,14.6313)
1306: (x,y)=(-8.23177,15.5876)
1307: (x,y)=(-9.18282,15.8966)
1308: (x,y)=(-8.42811,15.2406)
1309: (x,y)=(-8.63602,16.2187)
1310: (x,y)=(-8.63602,17.2187)
